town,index2015,index2016,index2017,index2018
Paradise,0.00,2.65,1.07,0.86
Sunrise Manor,5.63,4.40,1.27,2.50
Spring Valley,2.79,2.57,0.67,0.45
Enterprise,3.60,2.53,0.69,0.43
Centennial Hills,2.78,2.61,1.14,0.47
Lone Mountain,3.87,2.23,0.79,0.55
Michael Way,6.18,3.44,1.12,1.96
Summerlin North,2.06,2.33,0.92,0.31
North Cheyenne,3.63,3.44,1.31,0.60
Green Valley North,3.00,2.63,0.97,0.31
Charleston Heights,6.55,4.15,1.35,0.60
Rancho Charleston,5.16,4.94,1.38,0.46
Summerlin South,1.34,1.16,0.35,0.97
East Las Vegas,8.30,2.52,1.03,0.00
Whitney,5.98,5.84,1.33,1.25
The Lakes,3.29,3.13,0.55,0.56
Winchester,8.86,5.08,1.43,0.00
Westgate,2.67,2.01,0.73,0.82
Anthem,1.55,0.88,0.60,1.02
Green Valley South,2.60,2.08,0.21,0.42
Sheep Mountain,2.29,2.39,0.71,1.41
West Las Vegas,6.64,4.91,1.58,0.00
Tule Springs,3.24,2.11,0.25,0.00
Sunrise,7.59,3.47,0.87,0.00
Providence,3.69,1.46,0.48,0.57
Desert Shores,3.79,1.97,0.45,0.73
Green Valley Ranch,1.88,1.07,0.94,0.00
Huntridge,6.05,5.04,1.41,0.00
Buffalo,4.96,1.65,0.37,1.10
Pioneer Park,6.45,2.72,1.15,0.57
McCullough Hills,2.78,2.14,0.35,0.00
Valley View,7.33,2.83,2.60,0.51
Angel Park Lindell,4.56,3.65,0.46,0.61
Gibson Springs,3.86,2.68,0.90,0.54
MacDonald Ranch,2.82,1.73,1.05,0.32
Cultural Corridor,8.96,3.49,1.99,0.00
Sun City Summerlin,1.70,1.39,0.53,0.42
Twin Lakes,6.85,4.11,1.37,0.55
River Mountain,3.32,2.20,0.37,0.37
Whitney Ranch,3.07,2.79,0.25,0.00
Paradise Hills,5.46,1.49,1.86,0.61
Pittman,6.56,4.14,1.12,0.44
Downtown,2.27,1.31,1.17,0.00
Highland Hills,6.42,0.96,1.14,1.56
College Park,5.69,4.48,1.63,0.82
West Henderson,0.00,0.00,0.00,0.58
Downtown East,14.17,3.82,1.26,0.00
Black Mountain,3.62,1.81,1.44,0.00
Foothills,5.86,4.35,0.35,0.71
Townsite,9.49,2.90,0.83,0.00
Mission Hills,2.74,1.37,1.36,1.81
Arrow Head Acres,20.10,5.05,2.53,0.00
UMC,8.47,3.25,1.09,0.00
Midway,4.21,3.37,2.95,3.37
Meadows Village,7.25,3.66,3.67,0.00
